,nickName,route,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB,plays,totalPlays,freq
0,49ers,1.0,44,7.440000000000003,0,0,7.440000000000003,0.16909090909090915,44,510,0.08627450980392157
1,49ers,2.0,54,12.559999999999997,0,-3,9.56,0.17703703703703705,54,510,0.10588235294117647
2,49ers,3.0,12,3.52,0,0,3.52,0.29333333333333333,12,510,0.023529411764705882
3,49ers,4.0,99,26.439999999999987,12,-3,35.44,0.35797979797979795,99,510,0.19411764705882353
4,49ers,5.0,62,17.120000000000005,4,0,21.119999999999997,0.3406451612903225,62,510,0.12156862745098039
5,49ers,6.0,49,19.72,4,-1,22.719999999999995,0.463673469387755,49,510,0.09607843137254903
6,49ers,7.0,15,7.559999999999999,16,0,23.560000000000002,1.5706666666666669,15,510,0.029411764705882353
7,49ers,8.0,21,8.92,4,-1,11.919999999999998,0.5676190476190476,21,510,0.041176470588235294
8,49ers,9.0,65,25.480000000000004,24,-2,47.48,0.7304615384615384,65,510,0.12745098039215685
9,49ers,10.0,39,5.880000000000002,0,-1,4.880000000000001,0.12512820512820516,39,510,0.07647058823529412
10,49ers,11.0,50,12.879999999999997,4,-1,15.879999999999999,0.3176,50,510,0.09803921568627451
11,Bears,1.0,31,6.880000000000002,4,0,10.879999999999999,0.35096774193548386,31,351,0.08831908831908832
12,Bears,2.0,52,15.68,8,0,23.680000000000003,0.45538461538461544,52,351,0.14814814814814814
13,Bears,3.0,4,0.0,0,0,0.0,0.0,4,351,0.011396011396011397
14,Bears,4.0,48,12.879999999999995,4,-2,14.879999999999994,0.3099999999999999,48,351,0.13675213675213677
15,Bears,5.0,43,10.64,0,0,10.64,0.2474418604651163,43,351,0.1225071225071225
16,Bears,6.0,41,12.16,8,0,20.16,0.4917073170731707,41,351,0.1168091168091168
17,Bears,7.0,20,7.64,12,0,19.640000000000004,0.9820000000000002,20,351,0.05698005698005698
18,Bears,8.0,11,7.3999999999999995,8,-2,13.4,1.2181818181818183,11,351,0.03133903133903134
19,Bears,9.0,52,14.440000000000001,24,-1,37.44,0.72,52,351,0.14814814814814814
