team,playerName,CoverageType_pooled,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
PHI,A.J. Brown,Man,55.00000000000001,42,37,134.0,192.0,0.6979166666666666,71,124,0.5725806451612904
PHI,A.J. Brown,Other,8.9,6,9,23.900000000000002,109.0,0.21926605504587157,11,124,0.08870967741935484
PHI,A.J. Brown,Zone,52.1,24,30,106.10000000000001,185.0,0.5735135135135135,42,124,0.3387096774193548
ARI,A.J. Green,Man,27.7,6,26,59.7,226.0,0.26415929203539823,55,116,0.47413793103448276
ARI,A.J. Green,Other,0.0,0,0,0.0,12.0,0.0,2,116,0.017241379310344827
ARI,A.J. Green,Zone,25.900000000000002,12,24,61.900000000000006,233.0,0.26566523605150216,59,116,0.5086206896551724
GB,Aaron Jones,Man,14.3,6,17,37.30000000000001,84.0,0.4440476190476192,26,70,0.37142857142857144
GB,Aaron Jones,Other,15.700000000000003,0,22,37.7,69.0,0.5463768115942029,25,70,0.35714285714285715
GB,Aaron Jones,Zone,8.100000000000001,6,13,27.1,66.0,0.41060606060606064,19,70,0.2714285714285714
MIA,Adam Shaheen,Man,10.8,18,8,36.8,57.0,0.6456140350877192,16,16,1.0
MIN,Adam Thielen,Man,36.60000000000001,60,32,128.59999999999997,214.0,0.6009345794392522,52,115,0.45217391304347826
MIN,Adam Thielen,Other,4.2,0,4,8.2,112.0,0.0732142857142857,6,115,0.05217391304347826
MIN,Adam Thielen,Zone,54.39999999999999,24,41,119.40000000000002,236.0,0.5059322033898306,57,115,0.4956521739130435
NO,Adam Trautman,Zone,12.000000000000002,6,9,27.0,61.0,0.4426229508196721,10,10,1.0
DEN,Albert Okwuegbunam,Man,10.100000000000001,0,9,19.099999999999998,29.0,0.6586206896551723,12,12,1.0
MIA,Alec Ingold,Man,0.5,6,3,9.5,4.0,2.375,5,17,0.29411764705882354
MIA,Alec Ingold,Zone,10.5,0,9,19.5,29.0,0.6724137931034483,12,17,0.7058823529411765
WAS,Alex Erickson,Man,2.7,0,4,6.7,14.0,0.4785714285714286,7,7,1.0
MIN,Alexander Mattison,Man,6.500000000000001,6,6,18.5,12.0,1.5416666666666667,7,16,0.4375
MIN,Alexander Mattison,Other,2.5,0,3,5.5,15.0,0.36666666666666664,4,16,0.25
MIN,Alexander Mattison,Zone,3.9000000000000004,0,5,8.899999999999999,2.0,4.449999999999999,5,16,0.3125
GB,Allen Lazard,Man,23.0,18,15,56.0,121.0,0.4628099173553719,28,62,0.45161290322580644
GB,Allen Lazard,Other,2.1999999999999997,0,4,6.199999999999999,39.0,0.15897435897435896,5,62,0.08064516129032258
GB,Allen Lazard,Zone,35.699999999999996,6,21,62.7,96.0,0.6531250000000001,29,62,0.46774193548387094
NO,Alvin Kamara,Man,26.299999999999997,6,26,58.29999999999999,128.0,0.4554687499999999,35,121,0.2892561983471074
NO,Alvin Kamara,Other,28.2,18,37,83.2,98.0,0.8489795918367348,49,121,0.4049586776859504
NO,Alvin Kamara,Zone,29.1,6,30,65.1,133.0,0.4894736842105263,37,121,0.30578512396694213
CLE,Amari Cooper,Man,58.0,18,45,121.00000000000001,254.0,0.47637795275590555,62,132,0.4696969696969697
CLE,Amari Cooper,Other,1.3,0,5,6.3,17.0,0.37058823529411766,6,132,0.045454545454545456
CLE,Amari Cooper,Zone,52.10000000000001,12,43,107.10000000000001,267.0,0.401123595505618,64,132,0.48484848484848486
ARI,Andy Isabella,Man,5.800000000000001,6,5,16.8,34.0,0.49411764705882355,10,35,0.2857142857142857
ARI,Andy Isabella,Other,5.000000000000001,6,9,19.999999999999996,43.0,0.4651162790697674,10,35,0.2857142857142857
ARI,Andy Isabella,Zone,11.600000000000001,0,7,18.6,48.0,0.3875,15,35,0.42857142857142855
ATL,Anthony Firkser,Man,23.4,6,19,48.4,120.0,0.4033333333333333,27,57,0.47368421052631576
ATL,Anthony Firkser,Other,2.6,0,1,3.6,65.0,0.055384615384615386,1,57,0.017543859649122806
ATL,Anthony Firkser,Zone,17.1,0,21,38.10000000000001,98.0,0.38877551020408174,29,57,0.5087719298245614
PIT,Anthony McFarland Jr.,Man,0.7000000000000001,0,1,1.7000000000000002,1.0,1.7000000000000002,3,7,0.42857142857142855
PIT,Anthony McFarland Jr.,Other,2.2,0,3,5.2,21.0,0.24761904761904763,4,7,0.5714285714285714
