,team,playerName,blockingSchemeType_descr,touch,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch
0,PHI,A.J. Brown,Zone,2,1.0,0,0,1.0,0.5
1,GB,Aaron Jones,Duo,16,6.500000000000001,12,0,18.499999999999996,1.1562499999999998
2,GB,Aaron Jones,Pass Protection,3,0.39999999999999997,0,0,0.39999999999999997,0.13333333333333333
3,GB,Aaron Jones,Pull 2,1,-0.4,0,0,-0.4,-0.4
4,GB,Aaron Jones,Pull Across,11,3.5,0,0,3.5,0.3181818181818182
5,GB,Aaron Jones,Pull Front,3,0.8,0,0,0.8,0.26666666666666666
6,GB,Aaron Jones,Pull Outside Numbers,3,0.8000000000000002,0,0,0.8000000000000002,0.2666666666666667
7,GB,Aaron Jones,Split Zone,18,5.5,0,0,5.5,0.3055555555555556
8,GB,Aaron Jones,Zone,128,66.90000000000006,12,-1,77.90000000000003,0.6085937500000003
9,GB,Aaron Rodgers,Duo,1,0.0,0,0,0.0,0.0
10,GB,Aaron Rodgers,Pass Protection,14,10.200000000000001,12,0,22.2,1.5857142857142856
11,GB,Aaron Rodgers,Screen,1,0.1,0,0,0.1,0.1
12,GB,Aaron Rodgers,Slide Left,1,0.30000000000000004,0,0,0.30000000000000004,0.30000000000000004
13,GB,Aaron Rodgers,Zone,16,-0.4999999999999999,6,0,5.500000000000001,0.34375000000000006
14,NO,Adam Prentice,Zone,3,0.5,0,0,0.5,0.16666666666666666
15,MIN,Adam Thielen,Cut Blocking,1,0.2,0,0,0.2,0.2
16,MIN,Albert Wilson,False Pull,1,0.1,0,0,0.1,0.1
17,MIN,Albert Wilson,Zone,3,1.6,0,0,1.6,0.5333333333333333
18,MIA,Alec Ingold,Zone,2,0.1,0,0,0.1,0.05
19,WAS,Alex Armah,Zone,5,2.0999999999999996,0,0,2.0999999999999996,0.41999999999999993
20,MIN,Alexander Mattison,Duo,3,0.5,0,0,0.5,0.16666666666666666
21,MIN,Alexander Mattison,Pass Protection,2,0.9,0,0,0.9,0.45
22,MIN,Alexander Mattison,Pull Across,9,3.1,6,0,9.1,1.011111111111111
23,MIN,Alexander Mattison,Pull Front,1,0.0,0,0,0.0,0.0
24,MIN,Alexander Mattison,Pull Outside Numbers,4,0.7000000000000001,0,0,0.7000000000000001,0.17500000000000002
25,MIN,Alexander Mattison,Split Zone,15,8.8,0,0,8.8,0.5866666666666667
26,MIN,Alexander Mattison,Zone,100,35.20000000000001,12,-1,46.199999999999996,0.46199999999999997
27,GB,Allen Lazard,Split Zone,1,1.3,0,0,1.3,1.3
28,GB,Allen Lazard,Zone,2,1.9000000000000001,0,0,1.9000000000000001,0.9500000000000001
29,NO,Alvin Kamara,Duo,28,10.400000000000004,6,0,16.400000000000002,0.5857142857142857
30,NO,Alvin Kamara,False Pull,2,0.6,6,0,6.6,3.3
31,NO,Alvin Kamara,Pass Protection,6,1.3,0,0,1.3,0.21666666666666667
32,NO,Alvin Kamara,Pull Across,24,7.800000000000001,0,0,7.800000000000001,0.325
33,NO,Alvin Kamara,Pull Front,13,7.1000000000000005,0,0,7.1000000000000005,0.5461538461538462
34,NO,Alvin Kamara,Pull Outside Numbers,8,5.200000000000001,0,0,5.200000000000001,0.6500000000000001
35,NO,Alvin Kamara,Screen,1,0.9,0,0,0.9,0.9
36,NO,Alvin Kamara,Split Zone,26,9.700000000000001,6,0,15.700000000000005,0.603846153846154
37,NO,Alvin Kamara,Wham,2,0.4,0,0,0.4,0.2
38,NO,Alvin Kamara,Zone,130,50.599999999999994,6,0,56.599999999999994,0.4353846153846153
39,GB,Amari Rodgers,Pull Front,1,1.1,0,0,1.1,1.1
40,DET,Amon-Ra St. Brown,False Pull,1,1.2000000000000002,0,0,1.2000000000000002,1.2000000000000002
41,DET,Amon-Ra St. Brown,Pass Protection,2,3.1,6,0,9.1,4.55
42,DET,Amon-Ra St. Brown,Pull 2,2,1.9000000000000004,0,0,1.9000000000000004,0.9500000000000002
43,DET,Amon-Ra St. Brown,Zone,2,-0.10000000000000003,0,0,-0.10000000000000003,-0.05000000000000002
44,CAR,Andre Roberts,Pull Across,1,0.6000000000000001,0,0,0.6000000000000001,0.6000000000000001
45,CAR,Andre Roberts,Zone,2,1.3,0,0,1.3,0.65
46,NO,Andy Dalton,Pass Protection,10,7.600000000000001,0,0,7.600000000000001,0.7600000000000001
47,NO,Andy Dalton,Slide Left,2,0.6000000000000001,0,0,0.6000000000000001,0.30000000000000004
48,NO,Andy Dalton,Zone,4,-0.6,0,0,-0.6,-0.15
49,HOU,Andy Janovich,Pull Across,1,-0.1,0,0,-0.1,-0.1
50,HOU,Andy Janovich,Zone,1,0.1,6,0,6.1,6.1
51,PIT,Anthony McFarland Jr.,Pull Across,1,-0.1,0,0,-0.1,-0.1
52,PIT,Anthony McFarland Jr.,Pull Front,1,0.1,0,0,0.1,0.1
53,PIT,Anthony McFarland Jr.,Zone,1,0.30000000000000004,0,0,0.30000000000000004,0.30000000000000004
54,CLE,Anthony Schwartz,False Pull,4,4.4,0,0,4.4,1.1
55,CLE,Anthony Schwartz,Pull 2,1,-0.2,0,0,-0.2,-0.2
56,CLE,Anthony Schwartz,Zone,1,-0.30000000000000004,0,0,-0.30000000000000004,-0.30000000000000004
57,WAS,Antonio Gibson,Duo,8,0.8000000000000002,0,0,0.8000000000000002,0.10000000000000002
58,WAS,Antonio Gibson,Pass Protection,1,0.30000000000000004,0,0,0.30000000000000004,0.30000000000000004
59,WAS,Antonio Gibson,Pull 2,9,4.6000000000000005,0,0,4.6000000000000005,0.5111111111111112
60,WAS,Antonio Gibson,Pull Across,28,10.599999999999996,0,0,10.599999999999996,0.37857142857142845
61,WAS,Antonio Gibson,Pull Front,4,0.19999999999999998,0,0,0.19999999999999998,0.049999999999999996
62,WAS,Antonio Gibson,Pull Outside Numbers,10,4.1000000000000005,0,0,4.1000000000000005,0.41000000000000003
63,WAS,Antonio Gibson,Split Zone,46,18.299999999999997,0,-1,17.3,0.3760869565217391
64,WAS,Antonio Gibson,Zone,152,64.70000000000003,42,-2,104.70000000000003,0.6888157894736844
65,IND,Ashton Dulin,Zone,3,3.2,0,0,3.2,1.0666666666666667
66,LAC,Austin Ekeler,Duo,25,10.800000000000002,18,0,28.800000000000004,1.1520000000000001
67,LAC,Austin Ekeler,Pass Protection,5,2.0,0,0,2.0,0.4
68,LAC,Austin Ekeler,Pull 2,4,0.8,0,0,0.8,0.2
69,LAC,Austin Ekeler,Pull Across,26,9.000000000000002,18,0,26.999999999999996,1.0384615384615383
70,LAC,Austin Ekeler,Pull Front,6,2.2,6,0,8.2,1.3666666666666665
71,LAC,Austin Ekeler,Pull Outside Numbers,4,1.9,0,0,1.9,0.475
72,LAC,Austin Ekeler,Split Zone,29,11.2,18,0,29.199999999999992,1.0068965517241377
73,LAC,Austin Ekeler,Wham,1,-0.1,0,0,-0.1,-0.1
74,LAC,Austin Ekeler,Zone,106,53.3,12,0,65.3,0.6160377358490565
75,CAR,Baker Mayfield,Pass Protection,14,10.200000000000001,6,0,16.199999999999996,1.1571428571428568
76,CAR,Baker Mayfield,Pull 2,1,0.1,0,0,0.1,0.1
77,CAR,Baker Mayfield,Pull Across,2,0.9000000000000001,0,0,0.9000000000000001,0.45000000000000007
78,CAR,Baker Mayfield,Pull Front,1,0.1,0,0,0.1,0.1
79,CAR,Baker Mayfield,Slide Left,1,0.1,0,0,0.1,0.1
80,CAR,Baker Mayfield,Slide Right,6,1.7000000000000002,0,0,1.7000000000000002,0.2833333333333334
81,CAR,Baker Mayfield,Zone,12,0.30000000000000004,0,0,0.30000000000000004,0.025000000000000005
82,TB,Blaine Gabbert,Zone,9,-0.7,0,0,-0.7,-0.07777777777777778
83,KC,Blake Bell,Zone,4,1.0,0,0,1.0,0.25
84,PHI,Boston Scott,Duo,4,0.8999999999999999,0,0,0.8999999999999999,0.22499999999999998
85,PHI,Boston Scott,Pass Protection,1,0.4,0,0,0.4,0.4
86,PHI,Boston Scott,Pull 2,5,2.0,0,0,2.0,0.4
87,PHI,Boston Scott,Pull Across,7,4.199999999999999,6,0,10.2,1.457142857142857
88,PHI,Boston Scott,Pull Front,9,7.900000000000001,6,-1,12.9,1.4333333333333333
89,PHI,Boston Scott,Split Zone,10,7.6000000000000005,6,0,13.6,1.3599999999999999
90,PHI,Boston Scott,Wham,1,0.4,0,0,0.4,0.4
91,PHI,Boston Scott,Zone,51,19.200000000000006,30,0,49.19999999999999,0.964705882352941
92,HOU,Brandin Cooks,False Pull,1,1.6,0,0,1.6,1.6
93,HOU,Brandin Cooks,Pull Across,1,0.5,0,0,0.5,0.5
94,SF,Brandon Aiyuk,False Pull,3,1.5,0,0,1.5,0.5
95,SF,Brandon Aiyuk,Pull Across,1,0.4,0,0,0.4,0.4
96,SF,Brandon Aiyuk,Zone,1,-0.2,0,0,-0.2,-0.2
97,CIN,Brandon Allen,Pass Protection,1,0.0,0,0,0.0,0.0
98,CIN,Brandon Allen,Zone,6,-0.09999999999999998,0,0,-0.09999999999999998,-0.016666666666666663
99,LV,Brandon Bolden,Duo,6,1.7000000000000002,0,0,1.7000000000000002,0.2833333333333334
100,LV,Brandon Bolden,Pass Protection,3,1.9000000000000001,0,0,1.9000000000000001,0.6333333333333334
101,LV,Brandon Bolden,Pull Across,13,7.500000000000001,0,0,7.500000000000001,0.576923076923077
102,LV,Brandon Bolden,Pull Outside Numbers,5,3.7,0,0,3.7,0.74
103,LV,Brandon Bolden,Split Zone,1,0.5,0,0,0.5,0.5
104,LV,Brandon Bolden,Zone,16,7.500000000000001,6,0,13.5,0.84375
105,NYJ,Braxton Berrios,False Pull,1,0.9,0,0,0.9,0.9
106,NYJ,Braxton Berrios,Pull Across,1,1.1,0,0,1.1,1.1
107,NYJ,Braxton Berrios,Pull Outside Numbers,1,0.2,6,0,6.2,6.2
108,NYJ,Braxton Berrios,Zone,4,1.8000000000000003,6,0,7.8,1.95
109,TB,Breshad Perriman,Zone,1,-0.30000000000000004,0,0,-0.30000000000000004,-0.30000000000000004
110,NE,Brian Hoyer,Zone,11,-0.7999999999999999,0,0,-0.7999999999999999,-0.07272727272727272
111,ATL,Bryan Edwards,Zone,1,0.0,0,0,0.0,0.0
112,JAX,C.J. Beathard,Zone,1,0.2,0,0,0.2,0.2
113,NYG,C.J. Board,Pull Across,1,0.6000000000000001,0,0,0.6000000000000001,0.6000000000000001
114,MIN,C.J. Ham,Pull Front,1,0.0,0,0,0.0,0.0
115,MIN,C.J. Ham,Split Zone,1,0.1,0,0,0.1,0.1
116,MIN,C.J. Ham,Zone,5,3.3,0,0,3.3,0.6599999999999999
117,LAR,Cam Akers,Duo,11,3.1000000000000005,0,0,3.1000000000000005,0.28181818181818186
118,LAR,Cam Akers,Pull Across,1,0.0,0,0,0.0,0.0
119,LAR,Cam Akers,Pull Outside Numbers,1,0.9,0,0,0.9,0.9
120,LAR,Cam Akers,Split Zone,11,3.4000000000000004,0,0,3.4000000000000004,0.30909090909090914
121,LAR,Cam Akers,Zone,48,12.700000000000003,0,-2,10.700000000000001,0.22291666666666668
122,WAS,Cam Sims,Zone,1,0.7000000000000001,0,0,0.7000000000000001,0.7000000000000001
123,ATL,Cameron Batson,Zone,2,1.5,0,0,1.5,0.75
124,WAS,Carson Wentz,Pass Protection,22,15.6,0,0,15.6,0.7090909090909091
125,WAS,Carson Wentz,Pull 2,1,0.1,0,0,0.1,0.1
126,WAS,Carson Wentz,Pull Across,1,0.30000000000000004,0,0,0.30000000000000004,0.30000000000000004
127,WAS,Carson Wentz,Slide Left,5,2.8,0,0,2.8,0.5599999999999999
128,WAS,Carson Wentz,Split Zone,1,1.0,0,0,1.0,1.0
129,WAS,Carson Wentz,Zone,27,1.7000000000000002,6,-1,6.700000000000002,0.24814814814814823
130,BUF,Case Keenum,Pass Protection,4,1.9,0,0,1.9,0.475
131,BUF,Case Keenum,Zone,8,0.30000000000000004,0,0,0.30000000000000004,0.037500000000000006
132,DAL,CeeDee Lamb,Pass Protection,1,1.2000000000000002,0,0,1.2000000000000002,1.2000000000000002
133,DAL,CeeDee Lamb,Pull Outside Numbers,2,1.5,0,0,1.5,0.75
134,DAL,CeeDee Lamb,Split Zone,1,0.4,0,0,0.4,0.4
135,DAL,CeeDee Lamb,Zone,6,5.0,0,0,5.0,0.8333333333333334
136,KC,Chad Henne,Pass Protection,1,0.4,0,0,0.4,0.4
137,KC,Chad Henne,Zone,7,-0.4,0,0,-0.4,-0.05714285714285715
138,PIT,Chase Claypool,False Pull,1,2.5,0,0,2.5,2.5
139,PIT,Chase Claypool,Split Zone,3,2.7,0,0,2.7,0.9
140,PIT,Chase Claypool,Zone,10,4.4,0,0,4.4,0.44000000000000006
141,LAC,Chase Daniel,Zone,2,-0.2,0,0,-0.2,-0.1
142,MIA,Chase Edmonds,Duo,4,1.5,0,0,1.5,0.375
143,MIA,Chase Edmonds,Pass Protection,8,4.000000000000001,0,0,4.000000000000001,0.5000000000000001
144,MIA,Chase Edmonds,Pull 2,4,2.3000000000000003,0,0,2.3000000000000003,0.5750000000000001
145,MIA,Chase Edmonds,Pull Across,14,7.300000000000001,6,0,13.299999999999997,0.9499999999999998
146,MIA,Chase Edmonds,Pull Front,1,0.4,0,0,0.4,0.4
147,MIA,Chase Edmonds,Pull Outside Numbers,5,1.2,0,0,1.2,0.24
148,MIA,Chase Edmonds,Split Zone,13,3.3000000000000007,6,0,9.3,0.7153846153846154
149,MIA,Chase Edmonds,Zone,75,42.00000000000002,0,0,42.00000000000002,0.5600000000000003
150,SEA,Chris Carson,Duo,3,1.0,0,0,1.0,0.3333333333333333
151,SEA,Chris Carson,False Pull,1,0.2,0,0,0.2,0.2
152,SEA,Chris Carson,Pull 2,3,0.8,0,0,0.8,0.26666666666666666
153,SEA,Chris Carson,Pull Across,6,3.3000000000000003,0,0,3.3000000000000003,0.55
154,SEA,Chris Carson,Pull Outside Numbers,1,0.4,0,0,0.4,0.4
155,SEA,Chris Carson,Split Zone,4,0.5,0,0,0.5,0.125
156,SEA,Chris Carson,Zone,36,17.000000000000004,18,-1,34.00000000000001,0.9444444444444446
157,HOU,Chris Conley,False Pull,1,0.30000000000000004,0,0,0.30000000000000004,0.30000000000000004
158,CIN,Chris Evans,Duo,3,0.5,0,0,0.5,0.16666666666666666
159,CIN,Chris Evans,Pass Protection,1,1.3,0,0,1.3,1.3
160,CIN,Chris Evans,Pull Outside Numbers,2,0.4,0,0,0.4,0.2
161,CIN,Chris Evans,Split Zone,1,1.2000000000000002,0,0,1.2000000000000002,1.2000000000000002
162,CIN,Chris Evans,Zone,12,5.6000000000000005,0,0,5.6000000000000005,0.46666666666666673
163,TB,Chris Godwin,Zone,4,2.1,6,0,8.1,2.025
164,JAX,Christian Kirk,Zone,1,1.1,0,0,1.1,1.1
165,CAR,Christian McCaffrey,Duo,16,7.800000000000001,0,0,7.800000000000001,0.48750000000000004
166,CAR,Christian McCaffrey,Pull 2,7,3.1999999999999997,0,0,3.1999999999999997,0.45714285714285713
167,CAR,Christian McCaffrey,Pull Across,11,5.300000000000001,0,0,5.300000000000001,0.48181818181818187
168,CAR,Christian McCaffrey,Pull Front,2,-0.2,0,0,-0.2,-0.1
169,CAR,Christian McCaffrey,Pull Outside Numbers,2,2.7,0,0,2.7,1.35
