nickName,route,FP_yards,FP_TD,FP_receiving,FP/routes,plays,totalPlays,freq
49ers,3.0,3.9,0,3,0.2653846153846154,6,157,0.03821656050955414
49ers,7.0,13.1,0,3,0.3354166666666667,10,157,0.06369426751592357
49ers,4.0,28.5,0,34,0.2431906614785992,46,157,0.2929936305732484
49ers,6.0,15.9,6,8,0.11412213740458016,16,157,0.10191082802547771
49ers,5.0,26.5,0,30,0.21003717472118966,46,157,0.2929936305732484
49ers,8.0,4.2,12,2,0.20222222222222222,5,157,0.03184713375796178
49ers,2.0,15.500000000000004,12,16,0.37826086956521743,28,157,0.17834394904458598
Bears,3.0,7.600000000000001,0,6,1.36,12,176,0.06818181818181818
Bears,7.0,10.600000000000001,6,5,0.20970873786407768,12,176,0.06818181818181818
Bears,4.0,36.7,12,35,0.18683035714285715,42,176,0.23863636363636365
Bears,6.0,21.0,6,15,0.28571428571428564,29,176,0.16477272727272727
Bears,5.0,29.700000000000003,6,30,0.30137614678899083,39,176,0.2215909090909091
Bears,8.0,14.700000000000001,0,5,0.15887096774193551,11,176,0.0625
Bears,2.0,24.1,12,22,0.3748387096774193,31,176,0.17613636363636365
Bengals,3.0,1.5,0,1,0.078125,1,187,0.0053475935828877
Bengals,7.0,21.599999999999998,12,8,0.4837209302325581,15,187,0.08021390374331551
Bengals,4.0,38.7,0,39,0.1992307692307692,49,187,0.2620320855614973
Bengals,6.0,11.100000000000001,6,10,0.10343511450381682,19,187,0.10160427807486631
Bengals,5.0,43.00000000000001,18,39,0.48780487804878064,50,187,0.26737967914438504
Bengals,8.0,18.0,18,7,0.22279792746113988,15,187,0.08021390374331551
Bengals,2.0,27.0,12,27,0.45205479452054786,38,187,0.20320855614973263
Bills,3.0,4.5,0,5,0.2638888888888889,5,265,0.018867924528301886
Bills,7.0,13.1,18,8,1.0861111111111112,18,265,0.06792452830188679
Bills,4.0,57.3,18,60,0.31465116279069777,87,265,0.3283018867924528
Bills,6.0,23.0,0,15,0.1958762886597938,32,265,0.12075471698113208
Bills,5.0,27.799999999999997,0,34,0.33048128342245986,52,265,0.19622641509433963
Bills,8.0,24.000000000000004,12,11,0.3700787401574803,18,265,0.06792452830188679
Bills,2.0,45.10000000000001,24,36,1.2817073170731708,53,265,0.2
Broncos,3.0,10.200000000000001,0,8,4.550000000000001,8,175,0.045714285714285714
Broncos,7.0,18.2,12,8,0.3131147540983607,12,175,0.06857142857142857
Broncos,4.0,36.900000000000006,0,43,0.22828571428571426,59,175,0.33714285714285713
Broncos,6.0,15.7,0,12,0.11541666666666668,26,175,0.14857142857142858
Broncos,5.0,30.599999999999994,24,28,0.6164179104477614,40,175,0.22857142857142856
Broncos,8.0,2.5,0,1,0.035,7,175,0.04
Broncos,2.0,12.299999999999999,0,13,0.2504950495049505,23,175,0.13142857142857142
Browns,3.0,4.7,6,5,0.24920634920634918,9,250,0.036
Browns,7.0,5.2,6,2,0.14347826086956522,11,250,0.044
Browns,4.0,65.9,6,67,0.4221884498480245,82,250,0.328
Browns,6.0,20.400000000000002,12,16,0.3611940298507462,27,250,0.108
Browns,5.0,37.099999999999994,6,40,0.43507853403141367,66,250,0.264
Browns,8.0,26.400000000000006,18,11,0.6087912087912087,20,250,0.08
Browns,2.0,29.500000000000004,12,26,0.7417582417582419,35,250,0.14
Buccaneers,3.0,4.4,0,5,0.18799999999999997,6,241,0.024896265560165973
Buccaneers,7.0,7.300000000000001,0,3,0.1537313432835821,9,241,0.03734439834024896
Buccaneers,4.0,55.799999999999976,6,61,0.33099730458221027,80,241,0.33195020746887965
Buccaneers,6.0,24.000000000000007,6,16,0.15488215488215487,29,241,0.12033195020746888
Buccaneers,5.0,39.500000000000014,6,42,0.3038194444444444,58,241,0.24066390041493776
Buccaneers,8.0,10.900000000000002,0,5,0.16060606060606064,13,241,0.05394190871369295
Buccaneers,2.0,30.49999999999999,24,31,0.7125000000000001,46,241,0.1908713692946058
Cardinals,3.0,6.7,0,6,0.2081967213114754,9,180,0.05
Cardinals,7.0,12.4,12,5,0.5653846153846154,13,180,0.07222222222222222
Cardinals,4.0,37.0,6,35,0.16115702479338842,48,180,0.26666666666666666
