,nickName,CoverageType_descr,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB,plays,totalPlays,freq
0,49ers,Combination,3,1.6,0,0,1.6,0.5333333333333333,3,601,0.004991680532445923
1,49ers,Cover 0,5,0.6,0,0,0.6,0.12,5,601,0.008319467554076539
2,49ers,Cover 1,107,34.44000000000001,24,0,58.440000000000005,0.5461682242990654,107,601,0.17803660565723795
3,49ers,Cover 2,50,15.000000000000002,4,0,19.0,0.38,50,601,0.08319467554076539
4,49ers,Cover 3,178,47.80000000000002,12,-4,55.80000000000001,0.3134831460674158,178,601,0.2961730449251248
5,49ers,Cover 4,144,39.79999999999999,8,-5,42.79999999999998,0.2972222222222221,144,601,0.23960066555740434
6,49ers,Cover 6,32,7.64,8,-1,14.64,0.4575,32,601,0.05324459234608985
7,49ers,Man Cover 2,20,3.4800000000000004,4,0,7.4799999999999995,0.374,20,601,0.033277870216306155
8,49ers,No Video,4,0.48,0,0,0.48,0.12,4,601,0.0066555740432612314
9,49ers,Other,1,0.28,0,0,0.28,0.28,1,601,0.0016638935108153079
10,49ers,Prevent,4,1.32,0,0,1.32,0.33,4,601,0.0066555740432612314
11,49ers,Screen,40,5.600000000000001,0,-1,4.6000000000000005,0.11500000000000002,40,601,0.06655574043261231
12,49ers,Tampa 2,13,4.0,4,-1,7.0,0.5384615384615384,13,601,0.021630615640599003
13,Bears,Cover 0,5,2.2800000000000002,0,0,2.2800000000000002,0.45600000000000007,5,400,0.0125
14,Bears,Cover 1,103,33.68,20,0,53.67999999999999,0.5211650485436893,103,400,0.2575
15,Bears,Cover 2,55,11.799999999999999,0,0,11.799999999999999,0.21454545454545454,55,400,0.1375
16,Bears,Cover 3,90,20.96,16,-1,35.96,0.39955555555555555,90,400,0.225
17,Bears,Cover 4,71,20.519999999999996,16,-1,35.51999999999999,0.5002816901408449,71,400,0.1775
18,Bears,Cover 6,11,4.960000000000001,0,-1,3.96,0.36,11,400,0.0275
19,Bears,Man Cover 2,27,4.44,12,-2,14.440000000000001,0.5348148148148149,27,400,0.0675
20,Bears,No Video,7,6.120000000000001,4,0,10.120000000000001,1.445714285714286,7,400,0.0175
21,Bears,Other,2,0.0,0,0,0.0,0.0,2,400,0.005
22,Bears,Prevent,3,0.6,0,0,0.6,0.19999999999999998,3,400,0.0075
23,Bears,Screen,23,8.520000000000001,4,0,12.52,0.5443478260869565,23,400,0.0575
24,Bears,Tampa 2,3,0.0,0,0,0.0,0.0,3,400,0.0075
25,Bengals,Combination,2,0.48,4,0,4.48,2.24,2,633,0.00315955766192733
26,Bengals,Cover 0,23,4.279999999999999,8,-1,11.280000000000003,0.4904347826086958,23,633,0.036334913112164295
27,Bengals,Cover 1,131,28.080000000000002,12,-2,38.08,0.29068702290076337,131,633,0.20695102685624012
28,Bengals,Cover 2,55,16.599999999999998,0,-2,14.599999999999998,0.26545454545454544,55,633,0.08688783570300158
29,Bengals,Cover 3,193,61.32,20,-4,77.31999999999996,0.40062176165803093,193,633,0.3048973143759874
30,Bengals,Cover 4,95,27.399999999999995,28,-2,53.40000000000001,0.5621052631578949,95,633,0.1500789889415482
31,Bengals,Cover 6,11,2.8,0,-1,1.8,0.16363636363636364,11,633,0.017377567140600316
32,Bengals,Man Cover 2,35,8.96,0,0,8.96,0.256,35,633,0.05529225908372828
33,Bengals,No Video,5,1.1600000000000001,0,0,1.1600000000000001,0.23200000000000004,5,633,0.007898894154818325
34,Bengals,Other,2,0.4,0,0,0.4,0.2,2,633,0.00315955766192733
35,Bengals,Prevent,11,2.52,0,-1,1.52,0.13818181818181818,11,633,0.017377567140600316
36,Bengals,Screen,26,4.7200000000000015,4,0,8.719999999999999,0.33538461538461534,26,633,0.04107424960505529
37,Bengals,Tampa 2,44,14.879999999999997,0,0,14.879999999999997,0.33818181818181814,44,633,0.06951026856240126
38,Bills,Combination,1,0.52,4,0,4.52,4.52,1,523,0.0019120458891013384
39,Bills,Cover 0,6,1.56,4,0,5.56,0.9266666666666666,6,523,0.011472275334608031
40,Bills,Cover 1,115,25.32,8,-4,29.32,0.2549565217391304,115,523,0.2198852772466539
41,Bills,Cover 2,62,15.880000000000003,0,-2,13.88,0.2238709677419355,62,523,0.11854684512428298
42,Bills,Cover 3,118,26.320000000000004,4,-5,25.320000000000004,0.2145762711864407,118,523,0.22562141491395793
43,Bills,Cover 4,113,20.2,8,-5,23.2,0.20530973451327433,113,523,0.21606118546845124
