,team,playerName,blockingSchemeType_descr,touch,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch
276,HOU,Marlon Mack,Zone,16,6.200000000000001,0,0,6.200000000000001,0.38750000000000007
277,NYG,Matt Breida,Pull 2,6,5.200000000000001,0,0,5.200000000000001,0.8666666666666668
278,NYG,Matt Breida,Zone,9,3.1,0,0,3.1,0.34444444444444444
279,IND,Matt Ryan,Pass Protection,11,5.6000000000000005,0,-1,4.6000000000000005,0.4181818181818182
280,IND,Matt Ryan,Zone,23,0.30000000000000016,0,0,0.30000000000000016,0.013043478260869571
281,LAR,Matthew Stafford,Pass Protection,13,7.1,0,-1,6.1,0.46923076923076923
282,LAR,Matthew Stafford,Zone,33,-0.9999999999999999,12,0,11.000000000000002,0.33333333333333337
283,KC,Mecole Hardman,Zone,8,5.500000000000001,6,0,11.5,1.4375
284,KC,Michael Burton,Zone,10,3.0000000000000004,6,0,8.999999999999998,0.8999999999999998
285,NYJ,Michael Carter,Pull Across,33,11.000000000000002,6,0,17.0,0.5151515151515151
286,NYJ,Michael Carter,Split Zone,25,8.1,12,0,20.100000000000005,0.8040000000000002
287,NYJ,Michael Carter,Zone,75,35.599999999999994,0,0,35.599999999999994,0.47466666666666657
288,BAL,Mike Davis,Duo,6,1.9000000000000001,0,0,1.9000000000000001,0.3166666666666667
289,BAL,Mike Davis,Pull Across,6,3.0000000000000004,0,0,3.0000000000000004,0.5000000000000001
290,BAL,Mike Davis,Pull Outside Numbers,9,3.6,0,0,3.6,0.4
291,BAL,Mike Davis,Split Zone,15,4.300000000000001,0,-1,3.3000000000000003,0.22000000000000003
292,BAL,Mike Davis,Zone,101,37.2,18,0,55.2,0.5465346534653466
293,PHI,Miles Sanders,Duo,7,2.8,0,0,2.8,0.39999999999999997
294,PHI,Miles Sanders,Pull 2,11,11.4,0,0,11.4,1.0363636363636364
295,PHI,Miles Sanders,Pull Across,8,1.3000000000000003,0,0,1.3000000000000003,0.16250000000000003
296,PHI,Miles Sanders,Pull Front,6,2.5000000000000004,0,0,2.5000000000000004,0.41666666666666674
297,PHI,Miles Sanders,Split Zone,18,7.800000000000002,0,0,7.800000000000002,0.4333333333333334
298,PHI,Miles Sanders,Zone,82,41.59999999999998,0,-1,40.59999999999998,0.49512195121951197
299,PIT,Najee Harris,Duo,32,11.000000000000004,0,0,11.000000000000004,0.3437500000000001
300,PIT,Najee Harris,Pass Protection,15,4.300000000000001,0,0,4.300000000000001,0.28666666666666674
301,PIT,Najee Harris,Pull Across,42,13.399999999999999,6,0,19.400000000000002,0.46190476190476193
302,PIT,Najee Harris,Pull Front,9,1.8,6,0,7.8,0.8666666666666667
303,PIT,Najee Harris,Pull Outside Numbers,6,1.0,0,0,1.0,0.16666666666666666
304,PIT,Najee Harris,Split Zone,53,24.5,12,0,36.499999999999986,0.6886792452830186
305,PIT,Najee Harris,Zone,156,65.0,18,0,82.99999999999993,0.5320512820512816
306,CLE,Nick Chubb,Duo,15,8.3,0,0,8.3,0.5533333333333333
307,CLE,Nick Chubb,Pull 2,21,9.300000000000002,0,0,9.300000000000002,0.44285714285714295
308,CLE,Nick Chubb,Pull Across,63,38.70000000000001,24,0,62.70000000000001,0.9952380952380954
309,CLE,Nick Chubb,Pull Outside Numbers,16,12.8,6,0,18.8,1.175
310,CLE,Nick Chubb,Split Zone,13,1.5999999999999999,0,0,1.5999999999999999,0.12307692307692307
311,CLE,Nick Chubb,Zone,89,49.00000000000002,18,-1,66.0,0.7415730337078652
312,IND,Nyheim Hines,Duo,6,2.3000000000000003,0,0,2.3000000000000003,0.38333333333333336
313,IND,Nyheim Hines,Pull Across,8,3.8000000000000007,0,0,3.8000000000000007,0.4750000000000001
314,IND,Nyheim Hines,Split Zone,6,2.5,0,0,2.5,0.4166666666666667
315,IND,Nyheim Hines,Zone,28,15.600000000000003,12,0,27.6,0.9857142857142858
316,KC,Patrick Mahomes,Pass Protection,56,48.6,18,-2,64.60000000000001,1.1535714285714287
317,KC,Patrick Mahomes,Zone,17,-2.1000000000000005,0,0,-2.1000000000000005,-0.12352941176470592
