,nickName,CoverageType_descr,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB
0,49ers,Combination,3,1.6,0,0,1.6,0.5333333333333333
1,49ers,Cover 0,5,0.6,0,0,0.6,0.12
2,49ers,Cover 2,49,14.440000000000001,4,0,18.44,0.3763265306122449
3,49ers,Cover 4,144,39.79999999999999,8,-5,42.79999999999998,0.2972222222222221
4,49ers,Cover 6,32,7.64,8,-1,14.64,0.4575
5,49ers,Man Cover 2,20,3.4800000000000004,4,0,7.4799999999999995,0.374
6,49ers,No Video,4,0.48,0,0,0.48,0.12
7,49ers,Other,1,0.28,0,0,0.28,0.28
8,49ers,Prevent,4,1.32,0,0,1.32,0.33
9,49ers,Screen,40,5.600000000000001,0,-1,4.6000000000000005,0.11500000000000002
10,49ers,Tampa 2,13,4.0,4,-1,7.0,0.5384615384615384
11,Bears,Cover 0,6,2.2800000000000002,0,0,2.2800000000000002,0.38000000000000006
12,Bears,Cover 2,58,11.639999999999999,0,0,11.639999999999999,0.20068965517241377
13,Bears,Cover 4,75,20.999999999999996,16,-1,35.99999999999999,0.4799999999999999
14,Bears,Cover 6,12,4.960000000000001,0,-1,3.96,0.33
15,Bears,Man Cover 2,36,6.320000000000001,12,-2,16.320000000000004,0.4533333333333334
16,Bears,No Video,7,6.120000000000001,4,0,10.120000000000001,1.445714285714286
17,Bears,Other,2,0.0,0,0,0.0,0.0
18,Bears,Prevent,4,0.88,0,0,0.88,0.22
19,Bears,Screen,25,8.360000000000001,4,0,12.36,0.49439999999999995
20,Bears,Tampa 2,3,0.0,0,0,0.0,0.0
21,Bengals,Combination,2,0.48,4,0,4.48,2.24
22,Bengals,Cover 0,24,4.279999999999999,8,-1,11.280000000000003,0.47000000000000014
23,Bengals,Cover 2,61,17.919999999999998,0,-2,15.92,0.26098360655737707
24,Bengals,Cover 4,102,29.999999999999993,28,-2,56.000000000000014,0.5490196078431374
25,Bengals,Cover 6,17,4.800000000000001,0,-1,3.8,0.22352941176470587
26,Bengals,Man Cover 2,45,10.56,0,-1,9.56,0.21244444444444446
27,Bengals,No Video,5,1.1600000000000001,0,0,1.1600000000000001,0.23200000000000004
28,Bengals,Other,2,0.4,0,0,0.4,0.2
29,Bengals,Prevent,13,2.96,0,-1,1.96,0.15076923076923077
30,Bengals,Screen,29,4.7200000000000015,4,0,8.719999999999999,0.30068965517241375
31,Bengals,Tampa 2,54,16.759999999999998,0,0,16.759999999999998,0.31037037037037035
32,Bills,Combination,1,0.52,4,0,4.52,4.52
33,Bills,Cover 0,8,2.48,8,0,10.48,1.31
34,Bills,Cover 2,64,15.800000000000004,0,-2,13.8,0.215625
35,Bills,Cover 4,121,20.839999999999996,8,-6,22.839999999999996,0.18876033057851235
36,Bills,Cover 6,10,2.84,0,0,2.84,0.284
37,Bills,Man Cover 2,45,10.520000000000001,4,-2,12.520000000000001,0.27822222222222226
38,Bills,No Video,10,2.3600000000000003,0,-1,1.3599999999999999,0.13599999999999998
39,Bills,Other,4,1.04,0,0,1.04,0.26
40,Bills,Prevent,3,2.08,0,0,2.08,0.6933333333333334
41,Bills,Screen,38,10.719999999999999,4,0,14.719999999999999,0.38736842105263153
42,Bills,Tampa 2,12,1.6400000000000001,0,-2,-0.3599999999999999,-0.02999999999999999
43,Broncos,Combination,10,0.9199999999999999,0,0,0.9199999999999999,0.092
44,Broncos,Cover 0,14,2.72,4,0,6.720000000000001,0.48000000000000004
45,Broncos,Cover 2,40,9.6,0,-2,7.600000000000002,0.19000000000000006
46,Broncos,Cover 4,79,21.159999999999993,12,-1,32.16,0.40708860759493665
47,Broncos,Cover 6,38,10.920000000000003,0,-1,9.920000000000002,0.2610526315789474
48,Broncos,Man Cover 2,31,12.680000000000003,8,0,20.679999999999993,0.6670967741935482
49,Broncos,No Video,1,0.68,0,0,0.68,0.68
50,Broncos,Prevent,6,1.72,0,-2,-0.28,-0.04666666666666667
51,Broncos,Screen,17,2.84,0,0,2.84,0.16705882352941176
52,Browns,Cover 0,9,2.44,4,0,6.44,0.7155555555555556
53,Browns,Cover 2,42,6.720000000000002,0,-1,5.720000000000002,0.13619047619047625
54,Browns,Cover 4,125,31.11999999999999,16,-3,44.120000000000005,0.35296000000000005
55,Browns,Cover 6,20,8.36,4,-2,10.36,0.518
56,Browns,Man Cover 2,31,5.56,0,-2,3.5600000000000005,0.11483870967741937
57,Browns,No Video,2,0.88,0,0,0.88,0.44
58,Browns,Other,1,0.0,0,0,0.0,0.0
59,Browns,Prevent,4,1.2,0,0,1.2,0.3
60,Browns,Screen,34,8.280000000000003,8,0,16.279999999999998,0.47882352941176465
61,Browns,Tampa 2,4,0.52,0,0,0.52,0.13
62,Buccaneers,Combination,1,0.8,0,0,0.8,0.8
63,Buccaneers,Cover 0,18,5.3999999999999995,8,0,13.4,0.7444444444444445
64,Buccaneers,Cover 2,49,13.96,8,-1,20.959999999999994,0.4277551020408162
65,Buccaneers,Cover 4,105,23.48,4,-3,24.479999999999997,0.23314285714285712
66,Buccaneers,Cover 6,11,2.5600000000000005,0,0,2.5600000000000005,0.23272727272727278
67,Buccaneers,Man Cover 2,51,13.48,0,-2,11.48,0.22509803921568627
68,Buccaneers,No Video,15,2.6,0,0,2.6,0.17333333333333334
69,Buccaneers,Prevent,6,1.12,0,-1,0.12,0.02
70,Buccaneers,Screen,42,9.280000000000001,0,0,9.280000000000001,0.22095238095238098
71,Buccaneers,Tampa 2,9,2.16,0,0,2.16,0.24000000000000002
72,Cardinals,Cover 0,28,2.88,8,-1,9.879999999999999,0.3528571428571428
73,Cardinals,Cover 2,31,7.520000000000002,4,0,11.520000000000001,0.3716129032258065
74,Cardinals,Cover 4,88,22.47999999999999,8,-3,27.47999999999999,0.31227272727272715
75,Cardinals,Cover 6,14,2.76,0,-1,1.76,0.12571428571428572
76,Cardinals,Man Cover 2,38,10.960000000000003,4,-1,13.959999999999999,0.36736842105263157
77,Cardinals,No Video,3,0.0,0,0,0.0,0.0
78,Cardinals,Other,3,2.6399999999999997,0,0,2.6399999999999997,0.8799999999999999
79,Cardinals,Prevent,2,2.2800000000000002,4,0,6.28,3.14
80,Cardinals,Screen,41,7.400000000000002,0,0,7.400000000000002,0.18048780487804883
81,Cardinals,Tampa 2,17,2.48,0,-2,0.48000000000000015,0.028235294117647067
82,Chargers,Combination,3,0.48,0,0,0.48,0.16
83,Chargers,Cover 0,3,0.0,4,0,4.0,1.3333333333333333
84,Chargers,Cover 2,48,13.079999999999998,4,-2,15.079999999999998,0.31416666666666665
85,Chargers,Cover 4,91,26.079999999999995,4,-4,26.08,0.2865934065934066
86,Chargers,Cover 6,22,10.600000000000001,4,0,14.600000000000001,0.6636363636363637
87,Chargers,Man Cover 2,40,7.560000000000001,0,-1,6.560000000000001,0.16400000000000003
88,Chargers,Other,1,0.0,0,0,0.0,0.0
89,Chargers,Prevent,5,2.16,0,0,2.16,0.43200000000000005
90,Chargers,Screen,28,6.440000000000001,16,0,22.440000000000005,0.8014285714285716
91,Chargers,Tampa 2,2,0.88,0,0,0.88,0.44
92,Chiefs,Combination,2,1.36,0,0,1.36,0.68
93,Chiefs,Cover 0,36,7.079999999999999,12,0,19.08,0.5299999999999999
94,Chiefs,Cover 2,142,45.91999999999999,12,-5,52.91999999999999,0.3726760563380281
95,Chiefs,Cover 4,42,16.719999999999995,0,-2,14.719999999999999,0.35047619047619044
96,Chiefs,Cover 6,33,10.520000000000003,4,-1,13.520000000000003,0.4096969696969698
97,Chiefs,Man Cover 2,45,9.44,8,0,17.439999999999998,0.3875555555555555
98,Chiefs,No Video,6,2.4000000000000004,0,0,2.4000000000000004,0.4000000000000001
99,Chiefs,Other,1,0.16,0,0,0.16,0.16
100,Chiefs,Prevent,3,1.36,0,0,1.36,0.45333333333333337
101,Chiefs,Screen,37,12.000000000000004,4,0,16.000000000000004,0.4324324324324325
102,Chiefs,Tampa 2,1,0.0,0,0,0.0,0.0
103,Colts,Cover 0,4,3.8800000000000003,12,0,15.879999999999999,3.9699999999999998
104,Colts,Cover 2,74,21.959999999999997,4,-3,22.959999999999994,0.3102702702702702
105,Colts,Cover 4,107,30.199999999999992,0,-4,26.199999999999996,0.24485981308411212
106,Colts,Cover 6,16,4.96,8,0,12.96,0.81
107,Colts,Man Cover 2,31,3.84,4,-2,5.84,0.18838709677419355
108,Colts,No Video,3,4.32,4,0,8.32,2.7733333333333334
109,Colts,Other,1,0.0,0,0,0.0,0.0
110,Colts,Prevent,5,1.48,0,0,1.48,0.296
111,Colts,Screen,27,2.4000000000000004,0,0,2.4000000000000004,0.0888888888888889
112,Colts,Tampa 2,14,4.0,0,0,4.0,0.2857142857142857
113,Cowboys,Combination,4,0.4,0,0,0.4,0.1
114,Cowboys,Cover 0,11,2.88,4,0,6.880000000000002,0.6254545454545456
115,Cowboys,Cover 2,33,8.52,0,-2,6.5200000000000005,0.1975757575757576
116,Cowboys,Cover 4,63,13.679999999999998,4,-3,14.68,0.233015873015873
117,Cowboys,Cover 6,6,1.24,0,-1,0.24000000000000007,0.040000000000000015
118,Cowboys,Man Cover 2,26,5.200000000000001,4,-2,7.200000000000001,0.27692307692307694
119,Cowboys,No Video,12,2.64,0,0,2.64,0.22
120,Cowboys,Prevent,5,0.0,0,-1,-1.0,-0.2
121,Cowboys,Screen,29,6.640000000000001,8,-1,13.639999999999999,0.4703448275862069
122,Cowboys,Tampa 2,39,11.08,0,-1,10.080000000000002,0.2584615384615385
