,nickName,Routes Run,DropType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
0,49ers,116.0,0/1 Step,49.30000000000000,12,65,126.30000000000000,116.0,1.0887931034482800
1,49ers,169.0,3 Step,193.6000000000000,84,153,430.60000000000000,169.0,2.5479289940828400
2,49ers,51.0,5 Step,86.5,24,66,176.50000000000000,51.0,3.460784313725490
3,49ers,23.0,7 Step,32.300000000000000,0,21,53.300000000000000,23.0,2.3173913043478300
10,Bears,94.0,0/1 Step,70.30000000000000,30,66,166.30000000000000,94.0,1.7691489361702100
11,Bears,168.0,3 Step,110.70000000000000,60,89,259.7000000000000,168.0,1.5458333333333300
12,Bears,87.0,5 Step,57.7,30,42,129.7,87.0,1.4908045977011500
13,Bears,47.0,7 Step,34.2,18,21,73.2,47.0,1.5574468085106400
20,Bengals,87.0,0/1 Step,76.20000000000000,12,95,183.2,87.0,2.1057471264367800
21,Bengals,293.0,3 Step,217.50000000000000,72,187,476.5000000000000,293.0,1.6262798634812300
22,Bengals,53.0,5 Step,79.70000000000000,36,67,182.70000000000000,53.0,3.4471698113207600
23,Bengals,5.0,7 Step,47.900000000000000,6,27,80.9,5.0,16.18
32,Bills,173.0,0/1 Step,70.00000000000000,24,72,166.0,173.0,0.9595375722543350
33,Bills,194.0,3 Step,124.90000000000000,48,115,287.9000000000000,194.0,1.4840206185567000
34,Bills,88.0,5 Step,59.900000000000000,0,54,113.90000000000000,88.0,1.2943181818181800
35,Bills,48.0,7 Step,20.900000000000000,6,13,39.900000000000000,48.0,0.8312500000000000
43,Broncos,98.0,0/1 Step,28.700000000000000,12,40,80.7,98.0,0.823469387755102
44,Broncos,135.0,3 Step,145.10000000000000,48,125,318.10000000000000,135.0,2.356296296296300
45,Broncos,105.0,5 Step,95.7,30,55,180.70000000000000,105.0,1.7209523809523800
46,Broncos,58.0,7 Step,17.000000000000000,6,15,38.0,58.0,0.6551724137931030
52,Browns,24.0,0/1 Step,94.40000000000000,30,99,223.40000000000000,24.0,9.308333333333330
53,Browns,121.0,3 Step,105.9,48,104,257.90000000000000,121.0,2.1314049586776900
54,Browns,110.0,5 Step,69.40000000000000,24,47,140.40000000000000,110.0,1.2763636363636400
55,Browns,37.0,7 Step,12.000000000000000,6,9,27.0,37.0,0.7297297297297300
63,Buccaneers,153.0,0/1 Step,58.20000000000000,6,71,135.2,153.0,0.8836601307189540
64,Buccaneers,290.0,3 Step,170.00000000000000,36,158,364.0,290.0,1.2551724137931000
65,Buccaneers,89.0,5 Step,74.70000000000000,48,57,179.7,89.0,2.0191011235955100
66,Buccaneers,44.0,7 Step,32.900000000000000,6,27,65.90000000000000,44.0,1.4977272727272700
75,Cardinals,87.0,0/1 Step,40.400000000000000,6,53,99.40000000000000,87.0,1.1425287356321800
76,Cardinals,137.0,3 Step,134.60000000000000,60,119,313.60000000000000,137.0,2.28905109489051
77,Cardinals,116.0,5 Step,66.30000000000000,18,52,136.30000000000000,116.0,1.1750000000000000
78,Cardinals,18.0,7 Step,38.7,18,21,77.70000000000000,18.0,4.316666666666670
86,Chargers,135.0,0/1 Step,50.4,42,58,150.40000000000000,135.0,1.1140740740740700
87,Chargers,133.0,3 Step,154.20000000000000,60,134,348.2000000000000,133.0,2.618045112781950
88,Chargers,144.0,5 Step,98.9,18,59,175.90000000000000,144.0,1.2215277777777800
89,Chargers,49.0,7 Step,23.700000000000000,6,17,46.70000000000000,49.0,0.9530612244897960
98,Chiefs,126.0,0/1 Step,97.80000000000010,36,109,242.80000000000000,126.0,1.9269841269841300
99,Chiefs,201.0,3 Step,185.50000000000000,108,161,454.5000000000000,201.0,2.2611940298507500
100,Chiefs,76.0,5 Step,67.10000000000000,24,53,144.10000000000000,76.0,1.8960526315789500
101,Chiefs,29.0,7 Step,53.10000000000000,6,28,87.10000000000000,29.0,3.0034482758620700
110,Colts,79.0,0/1 Step,53.400000000000000,36,69,158.40000000000000,79.0,2.005063291139240
111,Colts,150.0,3 Step,131.00000000000000,78,122,331.0000000000000,150.0,2.206666666666670
112,Colts,66.0,5 Step,79.0,48,53,180.00000000000000,66.0,2.7272727272727300
113,Colts,38.0,7 Step,27.3,0,18,45.300000000000000,38.0,1.1921052631578900
121,Cowboys,102.0,0/1 Step,63.900000000000000,24,66,153.9,102.0,1.5088235294117600
122,Cowboys,201.0,3 Step,131.40000000000000,42,99,272.4000000000000,201.0,1.3552238805970200
123,Cowboys,135.0,5 Step,80.90000000000000,18,59,157.90000000000000,135.0,1.1696296296296300
124,Cowboys,46.0,7 Step,42.300000000000000,6,22,70.30000000000000,46.0,1.5282608695652200
131,Dolphins,92.0,0/1 Step,46.000000000000000,0,66,112.0,92.0,1.2173913043478300
132,Dolphins,157.0,3 Step,107.40000000000000,60,94,261.4,157.0,1.664968152866240
133,Dolphins,88.0,5 Step,84.80000000000000,24,58,166.80000000000000,88.0,1.895454545454550
134,Dolphins,24.0,7 Step,45.700000000000000,6,26,77.7,24.0,3.2375000000000000
144,Eagles,82.0,0/1 Step,61.10000000000000,36,78,175.10000000000000,82.0,2.135365853658540
145,Eagles,127.0,3 Step,110.40000000000000,18,105,233.40000000000000,127.0,1.8377952755905500
146,Eagles,73.0,5 Step,50.000000000000000,24,42,116.00000000000000,73.0,1.5890410958904100
147,Eagles,22.0,7 Step,58.40000000000000,6,34,98.4,22.0,4.472727272727270
155,Falcons,110.0,0/1 Step,51.000000000000000,24,59,134.00000000000000,110.0,1.218181818181820
156,Falcons,210.0,3 Step,117.00000000000000,24,110,251.00000000000000,210.0,1.1952380952381000
157,Falcons,107.0,5 Step,102.90000000000000,48,79,229.90000000000000,107.0,2.1485981308411200
158,Falcons,26.0,7 Step,28.700000000000000,6,20,54.70000000000000,26.0,2.1038461538461500
166,Football Team,24.0,0/1 Step,68.2,36,73,177.20000000000000,24.0,7.383333333333330
167,Football Team,204.0,3 Step,170.90000000000000,72,131,373.9,204.0,1.8328431372549000
168,Football Team,109.0,5 Step,77.8,48,53,178.80000000000000,109.0,1.640366972477060
169,Football Team,28.0,7 Step,37.1,0,23,60.10000000000000,28.0,2.146428571428570
177,Giants,91.0,0/1 Step,36.000000000000000,0,49,85.0,91.0,0.9340659340659340
178,Giants,167.0,3 Step,146.60000000000000,48,133,327.6,167.0,1.961676646706590
179,Giants,75.0,5 Step,87.2,42,67,196.20000000000000,75.0,2.6160000000000000
180,Giants,30.0,7 Step,24.500000000000000,6,16,46.50000000000000,30.0,1.5500000000000000
189,Jaguars,76.0,0/1 Step,65.3,36,62,163.3,76.0,2.1486842105263200
190,Jaguars,183.0,3 Step,116.80000000000000,36,115,267.80000000000000,183.0,1.4633879781420800
191,Jaguars,56.0,5 Step,82.90000000000000,12,66,160.9,56.0,2.873214285714290
192,Jaguars,34.0,7 Step,32.7,6,19,57.700000000000000,34.0,1.6970588235294100
199,Jets,59.0,0/1 Step,55.3,24,63,142.30000000000000,59.0,2.4118644067796600
200,Jets,155.0,3 Step,117.8,72,108,297.80000000000000,155.0,1.9212903225806400
201,Jets,134.0,5 Step,76.20000000000000,18,52,146.20000000000000,134.0,1.091044776119400
202,Jets,73.0,7 Step,39.6,6,25,70.60000000000000,73.0,0.967123287671233
212,Lions,54.0,0/1 Step,48.500000000000000,24,59,131.50000000000000,54.0,2.4351851851851800
213,Lions,212.0,3 Step,135.2,54,105,294.20000000000000,212.0,1.3877358490566000
214,Lions,67.0,5 Step,88.8,30,62,180.80000000000000,67.0,2.6985074626865700
215,Lions,45.0,7 Step,62.300000000000000,6,33,101.30000000000000,45.0,2.2511111111111100
223,Packers,54.0,0/1 Step,84.60000000000000,30,95,209.60000000000000,54.0,3.881481481481480
224,Packers,179.0,3 Step,140.0,72,132,344.00000000000000,179.0,1.9217877094972100
