,nickName,route,FP_yards,FP_TD,FP_receiving,FP/routes
51,Cardinals,4.0,40.300000000000004,0,45,0.21432160804020103
52,Cardinals,6.0,19.7,0,13,0.40875000000000006
53,Cardinals,5.0,53.60000000000001,30,55,1.2486486486486486
54,Cardinals,8.0,29.200000000000003,24,11,0.9304347826086955
55,Cardinals,2.0,15.899999999999999,6,15,0.369
56,Chargers,3.0,5.300000000000001,0,4,0.30000000000000004
57,Chargers,7.0,18.300000000000004,0,5,0.1834645669291339
58,Chargers,4.0,26.89999999999999,6,38,0.1544662309368192
59,Chargers,6.0,35.300000000000004,6,27,0.3732240437158471
60,Chargers,5.0,52.600000000000016,18,47,0.5004255319148937
61,Chargers,8.0,9.700000000000001,6,3,0.17155963302752297
62,Chargers,2.0,24.400000000000002,6,20,0.32307692307692304
63,Chiefs,3.0,5.6,0,6,2.32
64,Chiefs,7.0,18.700000000000003,12,7,0.4142857142857143
65,Chiefs,4.0,57.70000000000002,24,67,0.29621513944223093
66,Chiefs,6.0,23.400000000000002,0,19,0.23425414364640879
67,Chiefs,5.0,36.0,24,40,0.4524886877828055
68,Chiefs,8.0,23.9,30,8,0.5785046728971962
69,Chiefs,2.0,29.2,6,31,0.5658119658119658
70,Colts,3.0,5.0,6,6,0.8095238095238095
71,Colts,7.0,9.4,0,4,0.11166666666666666
72,Colts,4.0,43.3,6,47,0.24014962593516215
73,Colts,6.0,36.199999999999996,12,25,0.33732718894009217
74,Colts,5.0,43.800000000000004,12,41,1.2100000000000004
75,Colts,8.0,19.9,18,10,0.4938144329896907
76,Colts,2.0,20.4,12,18,0.9
77,Cowboys,3.0,4.4,0,5,0.24102564102564103
78,Cowboys,7.0,15.7,0,5,0.21122448979591835
79,Cowboys,4.0,43.400000000000006,0,39,0.19074074074074077
80,Cowboys,6.0,39.6,12,18,0.33142857142857146
81,Cowboys,5.0,31.299999999999997,0,32,0.2648535564853557
82,Cowboys,8.0,12.3,0,4,0.12442748091603054
83,Cowboys,2.0,18.500000000000004,6,17,0.25
84,Dolphins,3.0,6.9,0,5,1.0818181818181818
85,Dolphins,7.0,9.0,12,4,0.23148148148148148
86,Dolphins,4.0,36.9,6,37,0.2552715654952076
87,Dolphins,6.0,10.5,0,7,0.09308510638297872
88,Dolphins,5.0,38.6,0,39,0.3695238095238095
89,Dolphins,8.0,14.400000000000002,12,6,0.32727272727272727
90,Dolphins,2.0,20.900000000000002,6,13,0.17198275862068968
91,Eagles,3.0,0.0,0,0,0.0
92,Eagles,7.0,5.900000000000001,6,4,0.24090909090909093
93,Eagles,4.0,63.99999999999999,12,68,0.5737051792828688
94,Eagles,6.0,34.400000000000006,0,22,0.7421052631578947
95,Eagles,5.0,24.400000000000002,6,33,0.5711711711711711
96,Eagles,8.0,18.900000000000002,0,7,0.2697916666666667
97,Eagles,2.0,21.500000000000007,12,19,1.4189189189189186
98,Falcons,3.0,2.0,0,2,0.4
99,Falcons,7.0,5.300000000000001,24,5,0.27440000000000003
100,Falcons,4.0,67.5,6,66,0.3478802992518705
101,Falcons,6.0,28.0,0,17,0.2216748768472906
102,Falcons,5.0,38.49999999999999,6,36,0.44722222222222224
103,Falcons,8.0,16.200000000000003,6,8,0.3081632653061225
104,Falcons,2.0,28.3,0,18,0.2858024691358025
105,Football Team,3.0,7.4,0,6,0.4466666666666666
106,Football Team,7.0,11.3,6,6,0.6657142857142857
107,Football Team,4.0,49.900000000000006,0,54,0.48101851851851846
108,Football Team,6.0,27.099999999999994,0,22,0.32733333333333337
109,Football Team,5.0,35.8,6,36,0.4094736842105263
110,Football Team,8.0,19.5,18,6,0.40654205607476634
111,Football Team,2.0,20.2,12,19,0.5953488372093022
112,Giants,3.0,0.8,0,1,0.05454545454545455
113,Giants,7.0,5.300000000000001,0,2,0.07934782608695654
114,Giants,4.0,50.90000000000001,6,54,0.33708206686930076
115,Giants,6.0,16.900000000000002,6,16,0.1994871794871795
116,Giants,5.0,31.3,6,33,0.40171428571428563
117,Giants,8.0,16.800000000000004,6,7,0.37721518987341773
118,Giants,2.0,25.7,6,23,0.34402515723270444
119,Jaguars,3.0,0.8,0,1,0.0782608695652174
120,Jaguars,7.0,24.3,6,9,0.5171052631578948
121,Jaguars,4.0,38.89999999999999,0,43,0.20222222222222225
122,Jaguars,6.0,19.1,6,15,0.20885416666666667
123,Jaguars,5.0,30.5,12,38,0.4653179190751445
124,Jaguars,8.0,11.0,0,3,0.21875
125,Jaguars,2.0,42.00000000000001,36,37,1.1855670103092786
126,Jets,3.0,1.2000000000000002,0,2,0.10666666666666667
127,Jets,7.0,9.100000000000001,0,3,0.16351351351351354
128,Jets,4.0,37.9,6,41,0.2596330275229358
129,Jets,6.0,14.400000000000004,0,10,0.1167464114832536
130,Jets,5.0,43.30000000000001,6,41,0.40859728506787335
131,Jets,8.0,11.9,0,4,0.18275862068965518
132,Jets,2.0,28.20000000000001,12,26,0.5756521739130435
133,Lions,3.0,4.6,0,3,0.475
134,Lions,7.0,17.7,6,8,0.7925000000000001
135,Lions,4.0,48.50000000000001,0,48,0.3784313725490196
136,Lions,6.0,37.1,0,27,0.5672566371681417
137,Lions,5.0,25.2,0,29,0.292972972972973
138,Lions,8.0,14.1,6,5,0.27582417582417584
139,Lions,2.0,19.800000000000004,6,17,0.9304347826086956
140,Packers,3.0,1.1,0,1,0.42000000000000004
141,Packers,7.0,19.6,12,7,0.45952380952380956
142,Packers,4.0,51.90000000000001,12,57,3.555882352941176
143,Packers,6.0,21.300000000000004,0,18,0.22848837209302328
144,Packers,5.0,40.099999999999994,6,46,0.5032786885245901
145,Packers,8.0,13.0,6,3,0.275
146,Packers,2.0,28.500000000000004,6,25,0.3459302325581396
147,Panthers,3.0,2.9000000000000004,6,3,0.2902439024390244
148,Panthers,7.0,7.6000000000000005,6,3,0.1711340206185567
149,Panthers,4.0,35.8,18,45,0.5145833333333334
150,Panthers,6.0,30.399999999999995,0,20,0.24114832535885167
151,Panthers,5.0,26.1,18,29,0.41771428571428576
152,Panthers,8.0,12.100000000000001,0,4,0.14770642201834863
153,Panthers,2.0,34.1,24,28,0.5554838709677421
154,Patriots,3.0,2.6000000000000005,0,2,0.1642857142857143
155,Patriots,7.0,14.900000000000002,6,5,0.3984615384615385
156,Patriots,4.0,42.50000000000001,6,45,0.39451476793248946
157,Patriots,6.0,18.4,0,14,0.11134020618556703
158,Patriots,5.0,25.4,0,27,0.2911111111111111
159,Patriots,8.0,9.5,12,6,0.4583333333333333
160,Patriots,2.0,18.599999999999998,18,16,0.6045977011494252
161,Raiders,3.0,8.3,0,7,0.5666666666666667
162,Raiders,7.0,16.400000000000002,12,8,0.27368421052631575
163,Raiders,4.0,60.099999999999994,12,74,0.40359116022099445
164,Raiders,6.0,27.2,6,22,0.2464285714285715
165,Raiders,5.0,34.1,12,33,0.3858536585365855
166,Raiders,8.0,3.3000000000000003,0,2,0.041085271317829464
167,Raiders,2.0,21.5,0,22,0.4833333333333334
168,Rams,3.0,7.200000000000001,0,5,0.6100000000000001
169,Rams,7.0,15.900000000000002,18,7,0.43510638297872345
170,Rams,4.0,73.60000000000001,0,78,0.503654485049834
171,Rams,6.0,43.4,18,35,0.5572254335260114
172,Rams,5.0,40.10000000000001,6,44,0.41712962962962963
173,Rams,8.0,17.5,12,7,0.35096153846153844
174,Rams,2.0,49.6,0,40,1.1341772151898732
175,Ravens,3.0,6.5,0,5,0.3709677419354838
176,Ravens,7.0,22.8,6,8,0.5492537313432836
177,Ravens,4.0,42.7,6,40,0.16186131386861316
178,Ravens,6.0,33.300000000000004,6,23,0.3423076923076923
179,Ravens,5.0,50.4,18,52,0.5873170731707318
180,Ravens,8.0,21.200000000000003,12,10,0.6260869565217392
181,Ravens,2.0,40.2,36,28,0.5887005649717514
182,Saints,3.0,11.200000000000001,0,7,0.8666666666666666
183,Saints,7.0,19.200000000000003,12,8,0.4
184,Saints,4.0,29.7,6,34,0.37272727272727274
185,Saints,6.0,19.400000000000002,0,13,0.22816901408450707
186,Saints,5.0,43.4,6,48,0.8254237288135594
187,Saints,8.0,13.000000000000002,0,5,0.2222222222222222
188,Saints,2.0,57.000000000000014,12,41,1.358024691358025
189,Seahawks,3.0,1.9000000000000004,0,2,0.24375000000000002
190,Seahawks,7.0,8.100000000000001,6,4,0.18100000000000002
191,Seahawks,4.0,70.00000000000001,24,70,0.5942028985507247
192,Seahawks,6.0,37.199999999999996,0,22,0.9704918032786884
193,Seahawks,5.0,32.10000000000001,12,38,0.37834101382488483
194,Seahawks,8.0,17.5,24,7,0.8362068965517241
195,Seahawks,2.0,24.400000000000002,0,24,0.44403669724770645
196,Steelers,3.0,5.5,0,4,0.5588235294117647
197,Steelers,7.0,33.800000000000004,24,13,0.8045454545454543
198,Steelers,4.0,51.39999999999999,0,60,0.3776271186440678
199,Steelers,6.0,39.0,6,22,0.4496644295302014
200,Steelers,5.0,34.2,0,38,0.21812688821752263
201,Steelers,8.0,13.7,0,5,0.3016129032258064
202,Steelers,2.0,35.30000000000001,24,27,0.4664864864864865
203,Texans,3.0,5.800000000000001,0,4,0.4083333333333334
204,Texans,7.0,13.000000000000002,18,5,0.3272727272727273
205,Texans,4.0,43.70000000000001,18,42,0.44316239316239325
206,Texans,6.0,22.200000000000003,0,16,0.2984375
207,Texans,5.0,11.200000000000001,0,10,0.09422222222222222
208,Texans,8.0,32.10000000000001,24,11,1.6775000000000002
209,Texans,2.0,33.199999999999996,6,26,0.7951219512195122
210,Titans,3.0,4.7,0,4,0.4833333333333334
211,Titans,7.0,26.9,24,12,0.9388059701492538
212,Titans,4.0,49.30000000000001,0,61,0.3468553459119497
213,Titans,6.0,34.800000000000004,12,22,0.5548387096774193
214,Titans,5.0,41.2,6,44,0.6162162162162163
215,Titans,8.0,9.9,0,4,0.24821428571428572
216,Titans,2.0,18.000000000000004,6,17,0.31297709923664124
217,Vikings,3.0,6.9,0,5,0.33055555555555555
218,Vikings,7.0,5.7,0,2,0.051333333333333335
219,Vikings,4.0,57.70000000000002,12,60,0.4682310469314079
220,Vikings,6.0,24.2,0,17,0.19526066350710894
221,Vikings,5.0,46.3,18,42,0.5684491978609625
222,Vikings,8.0,27.500000000000004,12,11,0.5804597701149427
223,Vikings,2.0,36.0,6,29,0.45222929936305734
