,nickName,route,FP_yards,FP_TD,FP_receiving,FP/routes
0,49ers,3.0,5.1,0,3,0.44999999999999996
1,49ers,7.0,16.700000000000003,24,8,0.9549019607843137
2,49ers,4.0,49.6,12,53,0.6903614457831325
3,49ers,6.0,27.10000000000001,0,17,0.17710843373493976
4,49ers,5.0,42.8,6,46,0.5296089385474861
5,49ers,8.0,19.700000000000003,6,7,0.41923076923076924
6,49ers,2.0,20.700000000000003,0,17,0.34907407407407404
7,Bears,3.0,0.0,0,0,0.0
8,Bears,7.0,21.5,24,10,0.6768292682926829
9,Bears,4.0,20.4,6,25,0.09941972920696325
10,Bears,6.0,15.799999999999999,6,13,0.22745098039215683
11,Bears,5.0,29.600000000000012,0,31,0.3672727272727273
12,Bears,8.0,25.200000000000003,18,6,0.76875
13,Bears,2.0,27.3,24,25,0.6358333333333335
14,Bengals,3.0,5.1000000000000005,0,4,0.4136363636363637
15,Bengals,7.0,15.9,12,6,0.3424242424242424
16,Bengals,4.0,57.09999999999999,0,70,0.3570224719101123
17,Bengals,6.0,35.400000000000006,0,25,0.31134020618556707
18,Bengals,5.0,43.1,18,48,0.5994505494505495
19,Bengals,8.0,17.900000000000002,6,8,0.6787234042553191
20,Bengals,2.0,28.1,18,24,0.4099415204678362
21,Bills,3.0,4.0,0,4,0.26666666666666666
22,Bills,7.0,11.200000000000001,18,7,0.5484848484848486
23,Bills,4.0,41.099999999999994,6,52,0.15581761006289313
24,Bills,6.0,37.300000000000004,6,26,0.3482412060301508
25,Bills,5.0,28.600000000000005,6,35,0.43499999999999994
26,Bills,8.0,2.2,0,1,0.029906542056074768
27,Bills,2.0,25.900000000000002,12,20,0.5848484848484848
28,Broncos,3.0,4.1000000000000005,0,4,1.0125000000000002
29,Broncos,7.0,15.900000000000002,18,8,0.40679611650485437
30,Broncos,4.0,18.5,0,23,0.1022167487684729
31,Broncos,6.0,37.7,0,25,0.2348314606741573
32,Broncos,5.0,42.599999999999994,0,44,0.4920454545454546
33,Broncos,8.0,16.6,6,7,0.34022988505747126
34,Broncos,2.0,28.0,6,20,0.6923076923076923
35,Browns,3.0,9.0,0,7,1.0
36,Browns,7.0,9.700000000000001,6,5,0.19714285714285715
37,Browns,4.0,55.20000000000002,12,58,0.5282700421940928
38,Browns,6.0,12.8,0,9,0.19292035398230092
39,Browns,5.0,33.300000000000004,24,39,0.3689655172413792
40,Browns,8.0,16.700000000000003,12,4,0.4739130434782609
41,Browns,2.0,32.800000000000004,18,23,0.7306930693069308
42,Buccaneers,3.0,4.0,6,5,0.6818181818181818
43,Buccaneers,7.0,12.600000000000001,18,6,0.4021978021978022
44,Buccaneers,4.0,69.0,0,77,0.38522427440633245
45,Buccaneers,6.0,24.700000000000003,0,14,0.15357142857142858
46,Buccaneers,5.0,48.59999999999998,12,46,0.4037878787878788
47,Buccaneers,8.0,29.700000000000006,6,11,0.25659340659340657
48,Buccaneers,2.0,20.800000000000004,6,20,0.3441176470588236
49,Cardinals,3.0,2.9,6,3,0.6263157894736843
50,Cardinals,7.0,6.1,12,3,0.23186813186813188
